player_name,death_sr_overall,sr_vs_ra_fast,sr_vs_la_fast,sr_vs_ra_off_spin,sr_vs_ra_leg_spin,sr_vs_la_spin,sr_vs_la_chinaman
MJ Guptill,185.47,185.47,185.47,185.47,185.47,185.47,185.47
AU Rashid,83.43,76.16,166.67,83.43,100.0,83.43,0.0
JH Kallis,154.29,143.75,154.29,154.29,154.29,266.67,154.29
IG Butler,45.45,45.45,45.45,45.45,45.45,45.45,45.45
AD Mathews,159.38,161.25,214.29,85.71,159.38,66.67,159.38
BAW Mendis,57.14,57.14,57.14,57.14,57.14,57.14,57.14
WB Rankin,80.77,82.35,80.77,80.77,80.77,80.77,0.0
RS Bopara,150.0,152.69,150.0,85.71,150.0,150.0,150.0
Z Khan,130.0,130.0,130.0,130.0,130.0,130.0,130.0
Nazmul Hossain,20.0,20.0,20.0,20.0,20.0,20.0,20.0
Rubel Hossain,62.96,61.54,100.0,62.96,62.96,62.96,62.96
HMCM Bandara,84.62,84.62,84.62,84.62,84.62,84.62,84.62
Mohammad Amir,86.67,91.94,140.0,50.0,86.67,0.0,86.67
Umar Akmal,145.99,149.04,200.0,77.78,145.99,28.57,145.99
MJ Prior,100.0,100.0,100.0,100.0,100.0,100.0,100.0
R McLaren,69.23,69.23,69.23,69.23,69.23,69.23,69.23
A Nehra,75.0,75.0,75.0,75.0,75.0,75.0,75.0
AB Dinda,100.0,100.0,100.0,100.0,100.0,100.0,100.0
CU Jayasinghe,94.12,94.12,94.12,94.12,94.12,94.12,94.12
Shafiul Islam,66.67,65.0,66.67,66.67,100.0,66.67,66.67
Saeed Ajmal,98.85,101.18,0.0,0.0,98.85,98.85,98.85
A Bagai,110.53,110.53,110.53,110.53,110.53,110.53,110.53
IS Billcliff,128.57,128.57,128.57,128.57,128.57,128.57,128.57
U Bhatti,135.71,135.71,135.71,135.71,135.71,135.71,135.71
Khurram Chohan,100.0,100.0,100.0,100.0,100.0,100.0,100.0
HS Baidwan,137.5,137.5,137.5,137.5,137.5,137.5,137.5
B Zuiderent,113.33,113.33,113.33,113.33,113.33,113.33,113.33
GC Wilson,147.31,146.84,147.31,66.67,147.31,200.0,147.31
Sarfraz Ahmed,132.67,138.2,133.33,80.0,132.67,75.0,132.67
SPD Smith,145.74,145.61,145.74,87.5,216.67,166.67,145.74
NO Miller,90.24,90.24,90.24,90.24,90.24,90.24,90.24
N Deonarine,121.74,121.74,121.74,121.74,121.74,121.74,121.74
GJ Hopkins,86.67,86.67,86.67,86.67,86.67,86.67,86.67
AG Cremer,73.77,72.88,73.77,73.77,100.0,73.77,73.77
SW Masakadza,84.21,81.25,84.21,84.21,84.21,100.0,84.21
GH Dockrell,144.33,142.37,333.33,50.0,144.33,144.33,266.67
LD Chandimal,148.91,141.03,240.0,185.71,100.0,148.91,148.91
SR Watson,196.72,187.76,196.72,200.0,196.72,250.0,196.72
Mohammad Sami,90.48,81.25,90.48,120.0,90.48,90.48,90.48
RW Price,69.23,69.23,69.23,69.23,69.23,69.23,69.23
ADS Fletcher,123.68,119.44,200.0,123.68,123.68,123.68,123.68
Abdur Rehman,72.73,72.73,72.73,72.73,72.73,72.73,72.73
NLTC Perera,165.16,169.46,91.67,118.18,165.16,133.33,165.16
Khalid Latif,141.67,166.67,141.67,141.67,66.67,141.67,141.67
DA Miller,164.96,165.2,172.22,180.0,157.14,100.0,164.96
CR Ervine,134.55,135.78,134.55,0.0,134.55,134.55,134.55
CB Mpofu,93.94,93.94,93.94,93.94,93.94,93.94,93.94
T Taibu,157.58,156.67,157.58,166.67,157.58,157.58,157.58
CK Coventry,181.82,138.89,181.82,375.0,181.82,181.82,181.82
TD Paine,115.79,133.33,115.79,115.79,115.79,115.79,50.0
SNJ O'Keefe,128.0,128.0,128.0,128.0,128.0,128.0,128.0
Zulqarnain Haider,87.5,87.5,87.5,87.5,87.5,87.5,87.5
CA Ingram,193.1,193.1,193.1,193.1,193.1,193.1,193.1
JW Hastings,130.0,145.83,130.0,50.0,130.0,75.0,130.0
CJ McKay,79.17,80.0,79.17,75.0,79.17,79.17,79.17
Wahab Riaz,149.46,152.22,66.67,149.46,149.46,149.46,149.46
AF Milne,104.62,98.18,140.0,104.62,104.62,104.62,104.62
WD Parnell,106.14,112.87,166.67,20.0,106.14,106.14,106.14
J Theron,146.15,158.33,146.15,0.0,146.15,146.15,146.15
AJ Finch,190.51,190.41,200.0,100.0,200.0,190.51,190.51
CR Woakes,128.7,129.25,128.7,128.7,128.7,100.0,128.7
DP Hyatt,116.0,116.0,116.0,116.0,116.0,116.0,116.0
CD Barnwell,171.88,142.31,171.88,300.0,171.88,171.88,171.88
AD Russell,163.56,148.12,210.34,163.56,275.0,233.33,66.67
AR Nurse,129.09,128.89,150.0,129.09,120.0,100.0,129.09
Junaid Khan,153.33,153.33,153.33,153.33,153.33,153.33,153.33
