player_name,death_eco_overall,eco_vs_rhb,eco_vs_lhb
CB Roposo,6.79,6.79,6.79
Adil Butt,10.22,10.22,10.22
M Magagula,9.18,9.18,9.18
Umair Qasim,7.2,7.2,7.2
H Rashid,13.2,13.2,13.2
AR Patwa,9.0,9.0,9.0
Danish Jasnaik,10.0,10.0,10.0
Ikramullah Khan,8.93,8.93,8.93
Rizwan Haider,9.26,9.26,9.26
Manpreet Singh,10.74,10.74,10.74
Zeeshan Abbas,8.0,8.0,8.0
Shafat Ali Syed,8.3,8.3,8.3
Festus Benn,6.19,6.19,6.19
K Hinds,6.0,6.0,6.0
NH Ekanayake,6.96,6.96,6.96
A Wright,5.04,5.04,5.04
JR Barry,7.42,7.42,7.42
S Vijay Unni,6.64,6.64,6.64
F Stoman,6.49,6.49,6.49
Suman Ghimire,10.15,10.15,10.15
Amir Zaib,14.0,14.0,14.0
Fazil Rahman,6.57,6.57,6.57
Sirajullah Khadim,7.18,7.18,7.18
Shahzeb Choudhry,4.5,4.5,4.5
Abdul Naser Baluch,8.46,8.46,8.46
Atif Rasheed,2.33,2.33,2.33
Prashant Shukla,3.0,3.0,3.0
Vishil Patel,7.1,7.1,7.1
GM Muthui,6.98,6.98,6.98
Adnan Razzaq,12.5,12.5,12.5
A Prashar,5.41,5.41,5.41
Riaz Afridi,10.06,10.06,10.06
Zeerak Chughtai,8.4,8.4,8.4
Huzaif Yousuf,7.33,7.33,7.33
Danyal Raja,13.17,13.17,13.17
Khin Aye,5.23,5.23,5.23
K Namchaikul,1.38,1.38,1.38
Paing Danu,7.83,7.83,7.83
Robert Raina,8.5,8.5,8.5
C Chatphaisan,7.58,7.58,7.58
J Coetzee,5.91,5.91,5.91
N Nuntarach,7.83,7.83,7.83
S Thakur,16.0,16.0,16.0
Abdullah Rana,9.44,9.44,9.44
D Mullen,8.05,8.05,8.05
T Nightingale,6.67,6.67,6.67
Faisal Khan,9.38,9.38,9.38
Aqib Ilyas,10.62,10.62,10.62
Anas Khan,8.7,8.7,8.7
A Mehmood,12.9,12.9,12.9
Ahmed Faiz,6.58,6.58,6.58
Qasim Akram,3.27,3.27,3.27
Rishad Hossain,8.78,8.78,8.78
R Kalimuthu,9.38,9.38,9.38
Shakeel Ahmed,6.67,6.67,6.67
A Chaudhary,10.0,10.0,10.0
Meet Bhavsar,10.74,10.74,10.74
F Banunaek,8.06,8.06,8.06
DK Shetty,8.29,8.29,8.29
Luqman Butt,10.11,10.11,10.11
GC Murtaza,8.06,8.06,8.06
RM Koda,7.17,7.17,7.17
Lakshit Gupta,12.92,12.92,12.92
PR Surve,9.65,9.65,9.65
RR Sharan,9.23,9.23,9.23
GA Priandana,7.04,7.04,7.04
E Beukes,8.77,8.77,8.77
P Sharma,10.29,10.29,10.29
T Sangha,5.54,5.54,5.54
F Mutua,8.27,8.27,8.27
T Gwandu,9.11,9.11,9.11
N Burger,7.48,7.48,7.48
Rehan Ahmed,13.0,13.0,13.0
G Motie,8.07,8.07,8.07
MW Forde,11.39,11.39,11.39
Anjar Tadarus,8.56,8.56,8.56
KDA Lukies,5.53,5.53,5.53
Tanzim Hasan Sakib,9.85,9.85,9.85
Abbas Afridi,8.95,8.95,8.95
S Godara,7.13,7.13,7.13
Luo Shilin,12.33,12.33,12.33
RM Dorji,8.91,8.91,8.91
Mohamed Ishmath,9.79,9.79,9.79
S Banamali,9.47,9.47,9.47
Avi Dixit,4.5,4.5,4.5
Sarawut Maliwan,8.06,8.06,8.06
MK Thakur,6.67,6.67,6.67
Usman Khalid,6.81,6.81,6.81
AR Puri,8.23,8.23,8.23
Nazwan Ismail,12.0,12.0,12.0
M Taniyama,7.3,7.3,7.3
GD Arta,7.44,7.44,7.44
Shahzaib,6.64,6.64,6.64
C Hinze,5.86,5.86,5.86
S Yeshi,6.44,6.44,6.44
Waji Ul Hassan,6.93,6.93,6.93
Utkarsh Jain,7.58,7.58,7.58
AV Lazarus,6.89,6.89,6.89
Dhananjay Rao,7.85,7.85,7.85
K Kato-Stafford,6.67,6.67,6.67
Ateeq Iqbal,5.89,5.89,5.89
W Ngowhuad,9.86,9.86,9.86
R Drake,12.0,12.0,12.0
Pratis GC,7.92,7.92,7.92
Amir Farooq,11.87,11.87,11.87
PD Blignaut,10.33,10.33,10.33
MM Baig,11.31,11.31,11.31
JT Brassell,11.0,11.0,11.0
M Pathirana,9.05,9.05,9.05
SA Engelbrecht,7.0,7.0,7.0
M Levitt,10.0,10.0,10.0
TL Cutler,14.13,14.13,14.13
W Wotu,6.38,6.38,6.38
J Jarvis,10.89,10.89,10.89
Aakash Chand,9.79,9.79,9.79
Parvindar Kumar,6.4,6.4,6.4
Zuhaib Zubair,9.38,9.38,9.38
Omid Shafi Rahman,12.0,12.0,12.0
Joshua Asia,7.14,7.14,7.14
WT Mubayiwa,6.0,6.0,6.0
T Musekiwa,5.56,5.56,5.56
H Pieterse,4.0,4.0,4.0
O Muzondo,1.5,1.5,1.5
SPS Shikongo,5.76,5.76,5.76
Aarnav Patel,3.5,3.5,3.5
J Campbell,3.5,3.5,3.5
K Macheka,5.22,5.22,5.22
SC van Schalkwyk,10.29,10.29,10.29
RR Joshi,8.62,8.62,8.62
U Bhagwan,11.42,11.42,11.42
NP Kenjige,8.85,8.85,8.85
Harmeet Singh,7.62,7.62,7.62
Muhammad Farooq,9.12,9.12,9.12
Nimish Lathief,6.0,6.0,6.0
Musawar Shah,8.71,8.71,8.71
Kamran Khan (2),22.91,22.91,22.91
ZM Tribe,4.64,4.64,4.64
S Murari,2.5,2.5,2.5
S Pillai,7.55,7.55,7.55
D Ganesh,8.88,8.88,8.88
Imran Ahmed Kaneez,3.5,3.5,3.5
Shantanu Kaveri,3.65,3.65,3.65
S Ravikumar,5.71,5.71,5.71
R Ankad,6.95,6.95,6.95
Mohammed Irshad,7.07,7.07,7.07
D Rawat,6.67,6.67,6.67
MG Bracewell,9.53,9.53,9.53
W O'Rourke,8.55,8.55,8.55
ZGF Foulkes,8.8,8.8,8.8
Abrar Ahmed,6.71,6.71,6.71
A Kalasi,5.39,5.39,5.39
Gaurav Tiwari,9.43,9.43,9.43
N Naranbaatar,17.54,17.54,17.54
O Lutbayar,12.16,12.16,12.16
T Tumursukh,8.29,8.29,8.29
Z Shurentsetseg,13.58,13.58,13.58
T Amarmend,13.15,13.15,13.15
M Vivekanandan,11.89,11.89,11.89
S Stanikzay,10.65,10.65,10.65
Kamran Ahmadzai,12.0,12.0,12.0
B Ito-Davis,2.05,2.05,2.05
Zaheer Zahiri,9.6,9.6,9.6
Waqas Ali,9.53,9.53,9.53
F Khaliq,4.54,4.54,4.54
Jaswinder Singh,9.77,9.77,9.77
Zaki Ul Hassan,8.75,8.75,8.75
DT Doram,8.11,8.11,8.11
Isa Zaroo,8.5,8.5,8.5
Muhammad Moiz,7.33,7.33,7.33
M Gogev,9.3,9.3,9.3
OEG Baartman,8.74,8.74,8.74
S Joseph,9.15,9.15,9.15
Milad Momend,8.22,8.22,8.22
TJ Draca,2.89,2.89,2.89
Zain Ali,3.0,3.0,3.0
Abbas Ghani,9.84,9.84,9.84
Sheikh Rasik,6.49,6.49,6.49
JAM Henri,11.03,11.03,11.03
AN Lascu,10.88,10.88,10.88
Waqar Zalmai,8.59,8.59,8.59
G Burrows,4.5,4.5,4.5
Dawood Ahmadzai,9.0,9.0,9.0
Karanbir Singh,8.21,8.21,8.21
Amal Jacob,7.14,7.14,7.14
Kamran Wahid,10.73,10.73,10.73
Virendra Kumar,10.5,10.5,10.5
Ali Hussain,5.68,5.68,5.68
Adnan Gondal,3.5,3.5,3.5
Toqeer Ahmad,9.72,9.72,9.72
S Simpson,5.57,5.57,5.57
NM Salonen,8.79,8.79,8.79
Parveen Kumar,6.18,6.18,6.18
D Abeyrathna,5.1,5.1,5.1
Chaudhary Akram,6.0,6.0,6.0
A Paul,9.83,9.83,9.83
S Gooch,7.7,7.7,7.7
Taranjit Singh,6.89,6.89,6.89
R Siriwardena,21.0,21.0,21.0
MPGT Ketiyage,8.82,8.82,8.82
A Shahi,6.92,6.92,6.92
P Gheewala,13.71,13.71,13.71
R Parkin,9.6,9.6,9.6
S Burdekin,7.6,7.6,7.6
AUKDS Kalugala,7.82,7.82,7.82
Bilal Masud,7.0,7.0,7.0
M Dale-Bradley,6.67,6.67,6.67
C Forshaw,8.42,8.42,8.42
T Britton,3.0,3.0,3.0
A Limdawala,10.0,10.0,10.0
P Nedeljkovic,6.72,6.72,6.72
Muhammad Fahim,10.74,10.74,10.74
M Stanikzai,10.27,10.27,10.27
Saeed Ahmed,12.23,12.23,12.23
AJ Parmar,6.0,6.0,6.0
AM Tribe,4.5,4.5,4.5
J Stanigze,8.03,8.03,8.03
Samiullah Rahmani,7.16,7.16,7.16
JS Kundi,5.0,5.0,5.0
TU Deshpande,10.0,10.0,10.0
Abhishek Sharma,10.67,10.67,10.67
RK Singh,6.0,6.0,6.0
Mohammad Atif,4.08,4.08,4.08
SJ Hughes-Pinan,3.79,3.79,3.79
A Chaubey,11.7,11.7,11.7
J Danikula,12.72,12.72,12.72
H Satheedevi,10.93,10.93,10.93
D Doyle-Calle,3.16,3.16,3.16
MJM Kavana,9.8,9.8,9.8
JL Tutty,7.22,7.22,7.22
HB Dickson,6.96,6.96,6.96
C Dickson,6.5,6.5,6.5
OE Taylor,7.23,7.23,7.23
JQK Moala,7.0,7.0,7.0
P Kotoisuva,7.38,7.38,7.38
S Tabuisulu,12.32,12.32,12.32
D Visser,9.14,9.14,9.14
DE Burgess,6.0,6.0,6.0
PV Vuniwaqa,7.92,7.92,7.92
K Modise,5.5,5.5,5.5
N Master,5.0,5.0,5.0
T Perera,9.77,9.77,9.77
D Kegasitswe,13.0,13.0,13.0
Musaddiq Ahmed,6.93,6.93,6.93
Adil Khan,5.0,5.0,5.0
PE Kruger,10.4,10.4,10.4
KT Maphaka,9.07,9.07,9.07
Sajid Khan Afridi,10.38,10.38,10.38
Harry Johnson,12.0,12.0,12.0
E Karimi,5.0,5.0,5.0
Firas Hussain,8.54,8.54,8.54
A Sokovagone,7.5,7.5,7.5
K Klein,10.35,10.35,10.35
J Drysdale,11.53,11.53,11.53
ZB Lion-Cachet,6.23,6.23,6.23
Vikramjit Singh,9.0,9.0,9.0
Akhil Kumar,10.76,10.76,10.76
Ahmed Aqeel,5.0,5.0,5.0
A Kaul,3.82,3.82,3.82
Azri Azhar,5.57,5.57,5.57
XC Bartlett,7.95,7.95,7.95
Shunan Ali,3.47,3.47,3.47
MW Short,11.62,11.62,11.62
N Peter,7.92,7.92,7.92
E Frimpong,4.0,4.0,4.0
SZ Vayani,4.42,4.42,4.42
M Choamba,5.25,5.25,5.25
K Juma,6.52,6.52,6.52
S Kamate,4.71,4.71,4.71
MP Yadav,5.05,5.05,5.05
Nithish Kumar Reddy,6.0,6.0,6.0
J Tuffin,7.71,7.71,7.71
S Maduranga,7.94,7.94,7.94
Fazil Muhammad,7.64,7.64,7.64
N Tanner,9.48,9.48,9.48
Lee Kangmin,10.62,10.62,10.62
Altaf Gill,9.75,9.75,9.75
Rhys Burinaga,6.46,6.46,6.46
JI de Villiers,11.5,11.5,11.5
AA Paradkar,4.5,4.5,4.5
R Dhakal,9.6,9.6,9.6
SK Springer,9.79,9.79,9.79
N Advani,8.7,8.7,8.7
R Galgalikar,2.5,2.5,2.5
IC Simao,12.4,12.4,12.4
LF Muller,4.5,4.5,4.5
LH Rodrigues,6.28,6.28,6.28
Kawsar Khan,6.97,6.97,6.97
AA Rahayu,2.82,2.82,2.82
A Alexander,5.84,5.84,5.84
Jobayer Hossen,9.1,9.1,9.1
TKP Rajapaksha,13.85,13.85,13.85
S Rukmal,4.56,4.56,4.56
Yves Cyusa,5.84,5.84,5.84
S Gill,8.64,8.64,8.64
AM Rajpurohit,12.0,12.0,12.0
Asim Ashraf,15.5,15.5,15.5
AA Navicha,8.05,8.05,8.05
K Thuchila,6.92,6.92,6.92
DM Gondaria,10.5,10.5,10.5
Asif Ali,6.86,6.86,6.86
J Overton,8.42,8.42,8.42
DR Mousley,12.24,12.24,12.24
DN Wellalage,8.8,8.8,8.8
GD Phillips,3.27,3.27,3.27
A Simelane,12.32,12.32,12.32
Muzahir Raza,12.0,12.0,12.0
KK Lin Thu,5.42,5.42,5.42
T Hinds,10.36,10.36,10.36
Shariz Ahmad,12.0,12.0,12.0
M Chadha,11.03,11.03,11.03
N Salekar,9.38,9.38,9.38
SS Kang,7.15,7.15,7.15
Sohail Ahmed,8.48,8.48,8.48
D Dawa,7.33,7.33,7.33
Mohammed Aslam,3.23,3.23,3.23
Owais Ahmed,6.96,6.96,6.96
M Khojbariya,9.67,9.67,9.67
KMA Aziz,15.23,15.23,15.23
PK Dimitri,11.14,11.14,11.14
MC Alex,9.43,9.43,9.43
LKW Ezechiel,12.0,12.0,12.0
KY Wilfried,15.69,15.69,15.69
B Leo,8.1,8.1,8.1
AR Leo,8.18,8.18,8.18
J Thomas,6.3,6.3,6.3
R Sandeep,11.0,11.0,11.0
Shah Abrar Hussain,9.55,9.55,9.55
NT Gireesh,9.5,9.5,9.5
Sufiyan Muqeem,6.57,6.57,6.57
Jahandad Khan,9.82,9.82,9.82
T Mpatane,10.57,10.57,10.57
RJ Pierre,9.82,9.82,9.82
AR Perez Rivero,6.32,6.32,6.32
Jonte Smith,5.06,5.06,5.06
Chare Smith,4.22,4.22,4.22
GF Linde,4.67,4.67,4.67
D Ferreira,10.15,10.15,10.15
Izaz Ali,9.43,9.43,9.43
Yasar Haroon,5.38,5.38,5.38
R Avery,7.35,7.35,7.35
L Bonner,4.5,4.5,4.5
ML Castillo,6.41,6.41,6.41
K Jaikaran,7.5,7.5,7.5
YP Dayal,6.15,6.15,6.15
G Singh,4.5,4.5,4.5
J Proctor,4.31,4.31,4.31
K Fubler,5.09,5.09,5.09
Rudolph Fox,9.78,9.78,9.78
M Taylor,6.89,6.89,6.89
XSD Smith,7.8,7.8,7.8
AK Gokoel,6.33,6.33,6.33
S Foster,10.5,10.5,10.5
DG Weakley,8.17,8.17,8.17
V Shaw,4.15,4.15,4.15
Y Jasti,7.06,7.06,7.06
B Lewis,1.0,1.0,1.0
PK Mohanarangam,7.0,7.0,7.0
Santiago Duggan,5.08,5.08,5.08
M Badenhorst,10.57,10.57,10.57
Muhammad Asim,8.0,8.0,8.0
MTMMJ Ave,3.6,3.6,3.6
Harshit Rana,10.78,10.78,10.78
Hamid Safi,8.0,8.0,8.0
H Khogiyani,7.33,7.33,7.33
MP Ainsworth,8.08,8.08,8.08
Muhammad Saqlain,7.11,7.11,7.11
Bilal Zalmai,6.92,6.92,6.92
S Sarthak,4.8,4.8,4.8
SP Krishnamurthi,4.67,4.67,4.67
J Ramanandi,7.02,7.02,7.02
Ali Sheikh,6.6,6.6,6.6
PSRK Sudarshan,8.3,8.3,8.3
H Venkataram,6.64,6.64,6.64
R Hashu,7.75,7.75,7.75
U Shantu,6.67,6.67,6.67
NK Yadav,6.93,6.93,6.93
A Chenthamara,7.0,7.0,7.0
M Smith,10.0,10.0,10.0
D Bourne,6.86,6.86,6.86
Ronitkumar Ahir,2.21,2.21,2.21
P Jayeshbhai Patel,5.7,5.7,5.7
Anskumar Ahir,7.09,7.09,7.09
D Panda,6.0,6.0,6.0
J Daley,4.5,4.5,4.5
Davion Codner,8.0,8.0,8.0
R Edwards,6.0,6.0,6.0
Jaskaran Singh,5.8,5.8,5.8
R Smith,7.26,7.26,7.26
B Akhilesh Reddy,8.5,8.5,8.5
Karthik Jayaraj,6.92,6.92,6.92
C Sridev,7.41,7.41,7.41
Aslan Jafri,12.5,12.5,12.5
DPS Tyagi,8.67,8.67,8.67
Shivam Sharma,7.03,7.03,7.03
Imtiaz Khan,12.0,12.0,12.0
P Thongsa,6.86,6.86,6.86
Mehboob Ali,12.67,12.67,12.67
Elias Hasan,16.15,16.15,16.15
P Pushparajan,13.25,13.25,13.25
Abdul Samad,9.33,9.33,9.33
S Sugaya-Slater,10.6,10.6,10.6
Matiullah Khan,12.0,12.0,12.0
Saghir Khan,9.21,9.21,9.21
Nahid Rana,8.31,8.31,8.31
Waqar Khan,13.8,13.8,13.8
Ziaurahman Shinwari,6.44,6.44,6.44
KR Jha,7.58,7.58,7.58
SFS Cheema,7.9,7.9,7.9
Saeed Waqar Ali,10.36,10.36,10.36
Shamim Hossain,10.0,10.0,10.0
Khushdil Shah,9.0,9.0,9.0
Saim Ayub,6.5,6.5,6.5
Sheraz Sirwari,9.0,9.0,9.0
H Deshan,9.33,9.33,9.33
H Khuttan,13.88,13.88,13.88
Natim Hassam,8.5,8.5,8.5
Iftikhar Kankhel,8.8,8.8,8.8
MJ Potts,8.12,8.12,8.12
LA Dawson,10.38,10.38,10.38
Mansoor Shah,11.37,11.37,11.37
Neeraj Mishra,16.71,16.71,16.71
D Ramani,7.7,7.7,7.7
A Gupta,10.8,10.8,10.8
H Carlyon,6.0,6.0,6.0
Syed Ali Gillani,9.6,9.6,9.6
A Dhabe,10.17,10.17,10.17
Ghulam Abbas Butt,9.23,9.23,9.23
Ansh Patel,4.33,4.33,4.33
YS Samra,6.5,6.5,6.5
J Baker,6.9,6.9,6.9
JJ Davidson,4.8,4.8,4.8
Rupesh Singh,11.05,11.05,11.05
BJ McMullen,10.59,10.59,10.59
Muhammad Usman,4.94,4.94,4.94
Ali Nawaz,9.4,9.4,9.4
Kamal Soukhiya,8.4,8.4,8.4
Sareer Shah,11.81,11.81,11.81
Khalid Niazi,9.23,9.23,9.23
A Dhar,6.0,6.0,6.0
Mohammed Qasim,4.42,4.42,4.42
Rafiulah Alokozai,10.5,10.5,10.5
Rameez Khan,7.0,7.0,7.0
C Bosch,7.49,7.49,7.49
A Donovan,10.08,10.08,10.08
Kuldeep Gurjar,11.57,11.57,11.57
DVD Madampage,11.28,11.28,11.28
Bilal Ahmad Mir,9.4,9.4,9.4
K Babu,13.38,13.38,13.38
M Raikes,6.0,6.0,6.0
J Dowling,0.5,0.5,0.5
Muhammad Fahad,7.33,7.33,7.33
J Wilson,9.27,9.27,9.27
V Jatinder Kumar,7.6,7.6,7.6
Arun Yadav,6.92,6.92,6.92
A Augastin,5.14,5.14,5.14
B Balala,14.05,14.05,14.05
C Tchale,10.83,10.83,10.83
MJ Owen,12.0,12.0,12.0
TT Maposa,10.48,10.48,10.48
Salman Mirza,7.26,7.26,7.26
Ahmed Daniyal,8.5,8.5,8.5
Arif Ullah,8.79,8.79,8.79
SM Nash,9.63,9.63,9.63
Kabir Berlia,4.57,4.57,4.57
C Shivakumar,12.0,12.0,12.0
BF Mailata,10.5,10.5,10.5
Paras Singh,9.5,9.5,9.5
Noah Mead,15.5,15.5,15.5
M Musinguzi,10.67,10.67,10.67
Muhammad Rohid,7.67,7.67,7.67
Haider Ali,9.92,9.92,9.92
Saqlain Arshad,5.33,5.33,5.33
DAM Louis,9.58,9.58,9.58
P Kurup,3.0,3.0,3.0
J Blades,8.76,8.76,8.76
AA Jimoh,5.37,5.37,5.37
Ethan D'Souza,2.73,2.73,2.73
S Vats,13.85,13.85,13.85
Zeshan Arif,13.0,13.0,13.0
Zeeshan Ali,5.8,5.8,5.8
C Bevin,13.2,13.2,13.2
A Razmilic,12.17,12.17,12.17
ZXM Vukusic,16.0,16.0,16.0
Adam Senn,6.0,6.0,6.0
Hardeep Singh,8.73,8.73,8.73
S Austin,5.09,5.09,5.09
Lovedeep Singh,5.43,5.43,5.43
Baseer Khan,8.5,8.5,8.5
Aminul Islam Chowdhury,3.23,3.23,3.23
S Jamil,10.17,10.17,10.17
Ajhar Alam,8.7,8.7,8.7
RM Magare,6.72,6.72,6.72
Avishka Iroshan,12.79,12.79,12.79
LI Salomone,8.0,8.0,8.0
Shah Faisal,9.88,9.88,9.88
Hassnain Shah,8.54,8.54,8.54
MJ Humphreys,6.48,6.48,6.48
S Baker,14.0,14.0,14.0
KR Mayers,12.92,12.92,12.92
N Hirani,10.0,10.0,10.0
B Keganne,8.5,8.5,8.5
Zahid Ali,10.58,10.58,10.58
Shariq Munir,8.0,8.0,8.0
Nadeem Khan,7.0,7.0,7.0
Muhammad Arfan,7.0,7.0,7.0
H Kaushik,8.21,8.21,8.21
Wasim Ali,4.5,4.5,4.5
T Sandaruwan,9.67,9.67,9.67
Irfan Safi,9.5,9.5,9.5
JNT Seales,9.19,9.19,9.19
Usman Tariq,6.0,6.0,6.0
S Kharvi,6.0,6.0,6.0
D Nanda,3.0,3.0,3.0
Suhail Sattar,8.84,8.84,8.84
Elias Tilman,8.62,8.62,8.62
Nazmul Huda,6.5,6.5,6.5
S Jegannathan,5.54,5.54,5.54
PPS Win,7.6,7.6,7.6
Shafiq Jan,9.5,9.5,9.5
E Malinga,10.67,10.67,10.67
Asif Shaikh,7.56,7.56,7.56
Asif Javed,5.4,5.4,5.4
P Rathnayake,5.5,5.5,5.5
RV Nascimento,9.0,9.0,9.0
LG Moras,8.31,8.31,8.31
Ian Roberts,4.0,4.0,4.0
Soyeb Pendi,6.87,6.87,6.87
Aslam Bera,9.0,9.0,9.0
O Isiyaku,7.22,7.22,7.22
F Zirahangaje,8.73,8.73,8.73
Javid Patel,7.53,7.53,7.53
Mohamed Turay,8.0,8.0,8.0
Ayaz Dadabhai,5.89,5.89,5.89
AB Kamara,8.5,8.5,8.5
S Williams,12.0,12.0,12.0
Abdullahi Ismail,7.26,7.26,7.26
J Lassayo,7.0,7.0,7.0
JEA Doctora,9.69,9.69,9.69
K Sathish,8.84,8.84,8.84
A Awasthi,16.74,16.74,16.74
D Svilicic,18.5,18.5,18.5
A Beresford-Peirse,6.46,6.46,6.46
Tashi Dorji,2.29,2.29,2.29
Ugyen Dorji,11.0,11.0,11.0
Marcelle Hanekom,7.89,7.89,7.89
DGAPD Wiswi,6.32,6.32,6.32
M Beardman,5.57,5.57,5.57
