player_name,death_eco_overall,eco_vs_rhb,eco_vs_lhb
CJ Anderson,9.56,9.56,9.56
MJ McClenaghan,7.83,7.83,7.83
JDS Neesham,10.35,10.35,10.35
B Kumar,8.97,8.97,8.97
TA Boult,8.33,8.33,8.33
GD Elliott,10.67,10.67,10.67
BCJ Cutting,15.46,15.46,15.46
JR Hazlewood,9.48,9.48,9.48
TL Best,9.45,9.45,9.45
KJ Abbott,7.79,7.79,7.79
CH Morris,9.38,9.38,9.38
CT Mutombodzi,6.67,6.67,6.67
E Otieno,10.65,10.65,10.65
MS Aulakh,10.71,10.71,10.71
Sohag Gazi,6.92,6.92,6.92
RG Aga,3.38,3.38,3.38
T Panyangara,7.57,7.57,7.57
BA Stokes,8.81,8.81,8.81
Zulfiqar Babar,10.56,10.56,10.56
Mohammad Irfan,9.53,9.53,9.53
Imran Tahir,5.94,5.94,5.94
D Wiese,7.02,7.02,7.02
Anwar Ali,10.1,10.1,10.1
DR Briggs,14.5,14.5,14.5
NM Coulter-Nile,9.78,9.78,9.78
Al-Amin Hossain,8.53,8.53,8.53
Raza-ur-Rehman,5.5,5.5,5.5
JOA Gordon,6.76,6.76,6.76
I Wardlaw,12.0,12.0,12.0
G Goudie,9.0,9.0,9.0
NM Carter,11.5,11.5,11.5
Bilawal Bhatti,9.95,9.95,9.95
AP Devcich,7.0,7.0,7.0
SO Tikolo,3.67,3.67,3.67
RML Taylor,14.67,14.67,14.67
Usman Shinwari,9.0,9.0,9.0
JO Holder,9.34,9.34,9.34
MC Henriques,16.33,16.33,16.33
JM Muirhead,8.5,8.5,8.5
CJ Jordan,9.13,9.13,9.13
TJ Murtagh,7.46,7.46,7.46
K Santokie,6.83,6.83,6.83
Haseeb Amjad,9.17,9.17,9.17
Nadeem Ahmed,5.08,5.08,5.08
Irfan Ahmed,8.67,8.67,8.67
SP Gauchan,7.0,7.0,7.0
JK Mukhiya,7.5,7.5,7.5
SC Williams,7.3,7.3,7.3
LV van Beek,8.7,8.7,8.7
Kamran Shazad,4.5,4.5,4.5
Amjad Javed,9.1,9.1,9.1
Rohan Mustafa,7.34,7.34,7.34
Sagar Pun,6.86,6.86,6.86
Nizakat Khan,6.33,6.33,6.33
A Mishra,7.25,7.25,7.25
Mohammed Shami,10.29,10.29,10.29
Sikandar Raza,6.66,6.66,6.66
KS Williamson,7.0,7.0,7.0
BE Hendricks,9.75,9.75,9.75
HMRKB Herath,4.94,4.94,4.94
Taskin Ahmed,8.76,8.76,8.76
MM Sharma,10.67,10.67,10.67
HF Gurney,8.16,8.16,8.16
SS Cottrell,8.2,8.2,8.2
KW Richardson,7.85,7.85,7.85
SA Abbott,8.66,8.66,8.66
B Regmi,6.61,6.61,6.61
Sompal Kami,9.54,9.54,9.54
P Khadka,7.96,7.96,7.96
MJ Henry,10.12,10.12,10.12
AM Phangiso,8.25,8.25,8.25
Mustafizur Rahman,7.56,7.56,7.56
MRJ Watt,8.48,8.48,8.48
JH Davey,9.45,9.45,9.45
TE Kane,7.38,7.38,7.38
DJ Willey,9.52,9.52,9.52
Karan KC,9.28,9.28,9.28
MP O'Dowd,3.38,3.38,3.38
PA van Meekeren,8.0,8.0,8.0
Nasir Hossain,9.75,9.75,9.75
AC Evans,9.81,9.81,9.81
Mohammad Shahzad,8.05,8.05,8.05
A Vala,7.79,7.79,7.79
